id	classification	assessment	note
A01	強い導出	grounded_in_input	抽出条件の空集合。0件を予約成立にしていない。
A02	強い導出	grounded_in_input	抽出条件の単一集合。
A03	強い導出	grounded_in_input	一覧Outputの複数件展開。並び順は発明していない。
A04	明示	grounded_in_input	available限定の直接展開。
A05	明示	grounded_in_input	同一室のreservedだけを対象。
A06	強い導出	grounded_in_input	隣接を重複から除く規則との結合。
A07	強い導出	grounded_in_input	cancelled非占有との結合。
A08	明示	grounded_in_input	M1の等号境界。再質問なし。
A09	明示	grounded_in_input	M1の過去境界。再質問なし。
A10	明示	grounded_in_input	仮押さえ禁止を保存。
A11	強い導出	grounded_in_input	室の同一性と後段Inputの結合。
B01	明示	grounded_in_input	全成立条件の下の登録結果。実利用保証なし。
B02	明示	grounded_in_input	同じ予約の登録メタデータ。
B03	明示	grounded_in_input	検索後の状態変更を予約時点で検査。
B04	明示	grounded_in_input	検索後の占有変更を予約時点で検査。
B05	明示	grounded_in_input	検索後の時間経過を予約時点で検査。
B06	明示	grounded_in_input	同時予約の重複禁止。勝者を創作しない。
B07	強い導出	grounded_in_input	同じ室という競合条件の限定。性能保証なし。
B08	強い導出	grounded_in_input	指定対象のavailable条件から導出。
B09	明示	grounded_in_input	開始<終了の等号境界。
B10	明示	grounded_in_input	開始<終了の逆転条件。
B11	明示	grounded_in_input	M2本人確認の明示。
B12	強い導出	grounded_in_input	M2と予約同一性から複数予約時を具体化。
B13	明示	grounded_in_input	M2の後続継続。各後続の成立条件を保持。
C01	強い導出	grounded_in_input	同じ予約の指定属性更新。競合順はQ01へ限定。
C02	強い導出	grounded_in_input	指定予約の更新から対象外不変を局所導出。
C03	明示	grounded_in_input	不成立時維持の明示。不在予約へ拡張していない。
C04	明示	grounded_in_input	利用不可中の別室変更は既決。
C05	明示	grounded_in_input	対象自身の除外を明示。
C06	強い導出	wording_revision_needed	最終的にという限定は途中の重複成立を許すようにも読める。Rule 2の強さに揃える修正が必要。原本は保存。
C07	強い導出	grounded_in_input	本人の操作範囲。代理制度の追加なし。
C08	強い導出	grounded_in_input	必須の予約対象とreserved条件から導出。
C09	明示	grounded_in_input	reserved前提の直接展開。
D01	明示	grounded_in_input	本人のreservedからcancelledへの遷移。
D02	明示	grounded_in_input	取消日時の明示。一般監査ではない。
D03	明示	grounded_in_input	非占有の明示。他予約・利用不可は解除しない。
D04	明示	grounded_in_input	利用不可中の取消は既決。
D05	考慮候補	unapproved_candidate	既取消の確認可能性は入力にない。未承認候補として差分・代案を明記。人間の有用性判断待ち。
E01	明示	grounded_in_input	管理者による対象室の状態変更。
E02	明示	grounded_in_input	予約内容・状態・両日時の維持が明示されている。
E03	明示	grounded_in_input	利用不可への変更禁止を保持。
F01	明示	grounded_in_input	管理者によるavailableへの変更。
F02	明示	grounded_in_input	維持した予約の占有。
F03	明示	grounded_in_input	変更後の内容に従い元へ復元しない。
F04	明示	grounded_in_input	取消後の内容に従いreservedへ戻さない。
Q01	Business Designへ戻す事項	unapproved_alternatives	採用順・古い意図の検知は明示されていない。選択肢の影響と不問案を提示し、既決の重複禁止は再質問しない。
